id,subseg_id,category,examples
101001000,10100,Order-book,"Binance, Bittrex, Kraken"
101001001,10100,DEX relayer,"Paradex (acquired by Coinbase, 2019), Radar relay"
101001002,10100,Market Making,"Global Star, FBG"
101001003,10100,3rd party trading services,"Coinigy, 3 commas, HODLbot, Crypton"
101001004,10100,HFT services,Coinbase Markets (shutdown in April 2019)
101011100,10101,Brokerage services,"Coinbase, eToro, Cash App, bitcoin sussie"
101011101,10101,OTC services,"Genesis, Cumberland"
101021200,10102,Bitcoin Teller Machines (BTM),Bitaccess
101021201,10102,P2P marketplaces,"LocalBitcoins, Paxful"
101021202,10102,Clearing,ErisX
111301200,11130,Merchant services,"BitPay, Coinbase"
111301201,11130,Bill payments,Volabit
111301202,11130,Spending - Proxy-buyer service,"Purse, BitRefill"
111301203,11130,Spending - Crypto-only marketplace,"OpenBazaar shop, Silk Road"
111301204,11130,Spending - Debit card,"Wirex, Revolut, Skrill, Coinbase"
111311300,11131,Payroll,Bitwage
111311301,11131,B2B,Paylance
111311302,11131,Remittances,"BitPesa, Remitano"
111321400,11132,M2M payments,
111321401,11132,Micropayments,ProTip
121601500,12160,Software wallets,"Trustwallet, Jaxx"
121601501,12160,Vault services,"Xapo, Fidelity"
121611600,12161,Key management services (e.g. recovery),"Casa, BitGo"
121611601,12161,Software wallets,Blockchain
121611602,12161,Hardware wallets,"Ledger, Trezor"
121611603,12161,Paper wallets,Prasos
131901700,13190,Hardware manufacturing - ASIC mining,"Bitmain, Ebang, Canaan, Wattminer"
131901701,13190,Hardware manufacturing - GPU mining,"Nvidia, AMD"
131901702,13190,Remote hosting services,BitFury
131901703,13190,Cloud mining,Genesis Mining
131901704,13190,Proprietary hashing,NiceHash
131901705,13190,Pool operation,Antpool
131901706,13190,Hardware procurement (resale),Blockware Solutions
131901707,13190,Firmware development,Braiins
131901708,13190,Software development,Honeyminer
131911800,13191,Proprietary (individual),"Certus One, Staking Facilities"
131911801,13191,Staking-as-a-Service,"Bitcoin suisse, Staking Lab"
152502200,15250,Blockchain forensics,"Chainalysis, Elliptic"
152502201,15250,Market surveillance,Solidus Lab
152512300,15251,Directories,"CryptoCompare, Messari"
152512301,15251,Market data,Brave New Coin
152512302,15251,Data aggregation,Mosaic
152512303,15251,Block explorers,Blockchain.info
152512304,15251,Network statistics,Coinmetrics.io
152522400,15252,N/A,"CryptoCompare, ICO Bench, ICOholder"
152532500,15253,Industry,"Circle Research, Binance Info, BitMEX Research"
152532501,15253,Academia,"CCAF, UCL"
152532502,15253,Government,
162802600,16280,Forums,"bitcointalk.org, nimses"
162812700,16281,Online newspaper,"Coindesk, The Block"
162812701,16281,TV,Block.TV
162812702,16281,Radio,Crypto24Radio
162822800,16282,Shows,"What Bitcoin Did, Epicentre, Blockchain Insider"
162822801,16282,Events,CoinDesk
162822802,16282,Gaming,Gamerholic
162822803,16282,Media,PopChest
162822804,16282,Collectible Production,Denarium
162822805,16282,Gambling,Primedice
173103000,17310,Lending/Borrowing,"ETHLend, SALT"
173103002,17310,Margin lending,Fulcrum
173113100,17311,Interest-bearing account,BlockFi Interest Account
173123200,17312,N/A,"Etherisc, iXLedger"
183403300,18340,Sub-segment protocols/construction,0x Lightning Labs
183403301,18340,Application development,Forecast Foundation (Augur)
183403302,18340,Main chain maintenance,"Block.one, Chaincode Labs, Bitstream, Ethereum Foundation, Parity"
183403303,18340,Cross-chain project,"Polkadot, Cosmos"
183413400,18341,Security auditing,"ZeppelinOS, Crystal Blockchain"
183423500,18342,Software oracle,Provable (former Oracalize)
183423501,18342,Hardware oracle,Ledger IoT
183423502,18342,Consensus-based oracle,
193703600,19370,Legal,"Simmons & Simmons, Perkins Cooley, IG partners"
193703601,19370,Taxation,CoinTracking
193703602,19370,Regulatory,
193703603,19370,KYC & AML,"Civic, SelfKey, Onfido"
193703604,19370,Compliance,"Coinfirm, Harbor, Polymath"
193713700,19371,Business consulting,
193713701,19371,Investment advisory,CoinFund
193713702,19371,Education and Training,Bitcoin Designer
193723800,19372,Public Relations,Wachsmann
193723801,19372,Marketing services,CPA-networks?
193723802,19372,Community management,"Amazix, Bountyhive"
204003900,20400,Notarisation,Stampify
204003901,20400,Timestamping,
204014000,20401,Standard-setting,Global Digital Finance (GDF)
204014001,20401,Self-regulatory,JVCEA
204014002,20401,Advocacy,"Fleishmann Hillard, Coin Center"
204024100,20402,Mixing services,Helix
204024101,20402,Utility peering,
214304100,21430,Portfolio management,"Digital Currency Group, Blockchain Capital"
214304101,21430,Asset pooling,
214604200,21460,Issuance,
214604201,21460,Issuance hosting,Binance Launchpad
